#tail	head	edge_weight	edge_type	paths
O00144	P35222	7.50000e-01	KEGG indirect-effect|KEGG activation	1
O75084	P35222	7.50000e-01	KEGG indirect-effect|KEGG activation	2
O75581	P98082	7.50000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)	3
Q13467	P35222	7.50000e-01	KEGG indirect-effect|KEGG activation	4
Q14332	P35222	7.50000e-01	KEGG indirect-effect|KEGG activation	5
Q9H461	P35222	7.50000e-01	KEGG indirect-effect|KEGG activation	6
Q9NPG1	P35222	7.50000e-01	KEGG indirect-effect|KEGG activation	7
Q9ULW2	P35222	7.50000e-01	KEGG indirect-effect|KEGG activation	8
Q9UP38	P35222	7.50000e-01	KEGG indirect-effect|KEGG activation	9
O00144	O14640	7.50000e-01	KEGG indirect-effect|KEGG activation|SPIKE	10|11|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101|102|103|104|105|106|107|108|775|799|857|906|1078|1079|1080|1081|1269|1270|1271|1272|1273|1274|1275|1276|1277|1278|1279|1280|1281|1282|1283|1775|1814|1841|1897|2127|2128|2129|2130|2210|2211|2212|2213|2407|2469|2581|2582|2583|2584|2585|2586|2587|2588|2589|2590|2591|2592|2593|2594|2595|2596|2597|2598|2599|2600|2601|2602|2603|2604|2605|2606|2607|2608|2609|2610|2611|2612|2613|2614|2615|2616|2617|2618|2619|2620|2621|2622|2623|2624|2625|2626|2627|2628|2629|2630|2631|2632|2633|2634|2635|2636|2637|2638|2639|2640|2641|2642|2643|2644|2645|2646|2647|2648|2649|2650|2651|2652|2653|2654|2655|2656|2657|2658|2659|2660|2661|2662|2663|2664|2665|2666|2667|2668|2669|2670|2671|2672|2673|2674|2675|2676|2677|2678|2679|2680|2681|2682|2683|2684|2685|2686|2687|2688|2689|2690|2691|2692|2693|2694|2695|2696|2697|2698|2699|2700|2701|2702|2703|2704|2705|2706|2707|2708|2709|2710|2711|2712|2713|2714|2715|2716|2717|2718|2719|2720|2721|2722|2723|2724|2725|2726|2727|2728|2729|2730|2731|2732|2733|2734|2735|2736|2737|2738|2739|2740|2741|2742|2743|2744|2745|2746|2747|2748|2749|2750|2751|2752|2753|2754|2755|2756|2757|2758|2759|2760|2761|2762|2763|2764|2765|2766|2767|2768|2769|2770|2771|2772|2773|2774|2775|2776|2777|2778|2779|2780|2781|2782|2783|2784|2785|2786|2787|2788|2789|2790|2791|2792|2793|2794|2795|2796|2797|2798|2799|2800|2801|2802|2803|2804|2805|2806|2807|2808|2809|2810|2811|2812|2813|2814|2815|2816|2817|2818|2819|2820|2821|2822|2823|2824|2825|2826|2827|2828|2829|2830|2831|2832|2833|2834|2835|2836|2837|2838|2839|2840|2841|2842|2843|2844|2845|2846|2847|2848|2849|2850|2851|2852|2853|2854|2855|2856|2857|2858|2859|2860|2861|2862|2863|2864|2865|2866|2867|2868|2869|2870|2871|13121|13122|13123|13124|13125|14249|14250|14251|14252|14253|14254|14255|14256|14257|14258|14259|14260|14261|14262|14263|16704|16766|16767|16768|17270|17271|17272|17273|17440|17448|17449|17450|17451|17452|17453|17454|17455|17782|17783|17784|17785|17786|17939|17940|17998|17999|18000|18001|18002|18003|18004|18005|18601|18602|18603|18604|18605|18606|18607|18608|18609|18610|18611|18612|18613|18614|18615|18616|18617|18618|18619|18620|18621|18622|18623|19470|19619|19620|19811|19812
O14640	P25054	7.50000e-01	KEGG binding/association|MI:0006 (anti bait coimmunoprecipitation)	10|14|24|28|32|36|40|44|70|73|115|126|176|187|206|247|256|368|379|429|440|490|501|551|562|612|623|673|684|1107|1113|1119|1123|1842|1845|1852|1855|1858|1861|1864|1867|2406|2873|2928|2977|2980|2984|3499|3572|3575|3582|3965|4020|4069|4072|4076|4591|4664|4667|4674|4793|4847|4911|4969|5023|5055|5082|5250|5329|5383|5447|5505|5559|5591|5618|5794|5800|5809|5821|5830|5842|5847|5851|5858|5872|5877|5883|5888|5894|6171|6360|6372|6377|6381|6390|6402|6411|6423|6432|6444|6449|6453|6820|6875|6924|6927|6931|7446|7519|7522|7529|7912|7967|8016|8019|8023|8538|8611|8614|8621|9004|9059|9108|9111|9115|9632|9705|9708|9715|10100|10155|10204|10207|10211|10726|10799|10802|10809|11192|11247|11296|11299|11303|11818|11891|11894|11901|12284|12339|12388|12391|12395|12910|12983|12986|12993|18139|18145|18773|18826|18938|19013|19043|19542|19548
O14640	Q15797	7.50000e-01	NetPath|SPIKE	11|15|25|29|33|37|41|45|71|74|116|127|177|188|207|248|257|369|380|430|441|491|502|552|563|613|624|674|685|1108|1114|1120|1124|1843|1846|1853|1856|1859|1862|1865|1868|2411|2874|2929|2978|2982|2985|3500|3573|3576|3583|3966|4021|4070|4074|4077|4592|4665|4668|4675|4794|4848|4912|4970|5024|5056|5083|5251|5330|5384|5448|5506|5560|5592|5619|5795|5801|5810|5822|5831|5843|5848|5852|5859|5873|5878|5884|5889|5895|6172|6361|6373|6378|6382|6391|6403|6412|6424|6433|6445|6450|6454|6821|6876|6925|6929|6932|7447|7520|7523|7530|7913|7968|8017|8021|8024|8539|8612|8615|8622|9005|9060|9109|9113|9116|9633|9706|9709|9716|10101|10156|10205|10209|10212|10727|10800|10803|10810|11193|11248|11297|11301|11304|11819|11892|11895|11902|12285|12340|12389|12393|12396|12911|12984|12987|12994|18140|18146|18774|18827|18939|19014|19044|19543|19549
